,id,trial,n1,n2,out
222,6,20,earth,energy,earthquake
223,6,21,earth,lava,volcano
224,6,22,earth,mud,none
225,6,23,earth,obsidian,none
226,6,24,earth,rain,plant
227,6,25,earth,steam,geyser
228,6,26,air,brick,none
229,6,27,air,earthquake,none
230,6,28,air,energy,wind
231,6,29,air,geyser,none
232,6,30,air,lava,stone
233,6,31,air,mud,none
234,6,32,air,obsidian,none
235,6,33,air,plant,none
236,6,34,air,rain,none
237,6,35,air,steam,cloud
238,6,36,air,stone,sand
239,6,37,air,volcano,none
240,6,38,air,wind,none
241,6,39,air,sand,none
242,6,40,plant,rain,none
243,6,41,brick,cloud,none
244,6,42,brick,earthquake,none
245,6,43,brick,energy,none
246,6,44,energy,geyser,none
247,6,45,plant,fire,tobacco
248,6,46,plant,obsidian,none
249,6,47,mud,plant,swamp
250,6,48,geyser,lava,none
251,6,49,sand,rain,none
252,6,50,cloud,energy,storm
253,6,51,cloud,geyser,none
254,6,52,lava,cloud,none
255,6,53,mud,cloud,none
256,6,54,plant,cloud,cotton
257,6,55,cloud,plant,cotton
258,6,56,rain,stone,none
259,6,57,steam,stone,none
260,6,58,swamp,steam,none
261,6,59,swamp,tobacco,none
262,6,60,wind,energy,hurricane
263,6,61,wind,lava,none
264,6,62,wind,cloud,none
265,6,63,volcano,energy,ash
266,6,64,ash,cloud,none
267,6,65,ash,brick,none
268,6,66,ash,air,none
269,6,67,earth,ash,none
270,6,68,fire,ash,none
271,6,69,water,ash,none
272,6,70,mud,ash,none
273,6,71,obsidian,ash,none
274,6,72,plant,ash,none
275,6,73,rain,ash,none
276,6,74,steam,ash,none
277,6,75,tobacco,ash,none
278,6,76,tobacco,cotton,none
279,6,77,water,mud,none
280,6,78,water,cotton,none
281,6,79,fire,cotton,none
282,6,80,water,hurricane,none
283,6,81,fire,hurricane,none
284,6,82,earth,hurricane,none
285,6,83,air,hurricane,none
286,6,84,wind,volcano,none
287,6,85,wind,tobacco,none
288,6,86,wind,swamp,none
289,6,87,wind,stone,sand
290,6,88,wind,storm,none
291,6,89,wind,steam,none
292,6,90,wind,sand,dune
293,6,91,wind,rain,none
294,6,92,wind,plant,none
295,6,93,wind,obsidian,none
296,6,94,wind,mud,none
297,6,95,wind,lava,none
298,6,96,wind,hurricane,none
299,6,97,wind,geyser,none
300,6,98,wind,energy,hurricane
301,6,99,wind,earthquake,none
302,6,100,dune,wind,none
303,6,101,dune,cloud,none
304,6,102,water,dune,none
305,6,103,fire,dune,none
306,6,104,earth,dune,none
307,6,105,air,dune,none
308,6,106,ash,dune,none
309,6,107,dune,earthquake,none
310,6,108,energy,dune,none
311,6,109,geyser,cotton,none
312,6,110,dune,geyser,none
313,6,111,hurricane,dune,none
314,6,112,lava,dune,none
315,6,113,rain,dune,none
316,6,114,stone,dune,none
317,6,115,swamp,dune,none
318,6,116,brick,energy,none
319,6,117,brick,rain,none
320,6,118,obsidian,brick,none
321,6,119,lava,brick,none
322,6,120,mud,brick,none
323,6,121,brick,hurricane,none
324,6,122,storm,tobacco,none
325,6,123,storm,plant,none
326,6,124,rain,sand,none
327,6,125,mud,rain,none
328,6,126,storm,rain,none
329,6,127,wind,volcano,none
330,6,128,wind,water,none
331,6,129,air,stone,sand
332,6,130,earth,cloud,fog
333,6,131,earth,cotton,none
334,6,132,earth,dune,none
335,6,133,air,fog,none
336,6,134,fire,fog,none
337,6,135,fog,sand,none
338,6,136,fog,energy,none
339,6,137,swamp,fog,none
340,6,138,fog,tobacco,none
341,6,139,wind,fog,none
342,6,140,hurricane,fire,none
343,6,141,fire,mud,brick
344,6,142,fire,plant,tobacco
345,6,143,fire,sand,glass
346,6,144,glass,water,aquarium
347,6,145,glass,earth,none
348,6,146,glass,air,none
349,6,147,fire,glass,none
350,6,148,aquarium,air,none
351,6,149,aquarium,dune,none
352,6,150,cloud,glass,none
353,6,151,plant,glass,greenhouse
354,6,152,plant,aquarium,none
355,6,153,tobacco,glass,none
356,6,154,water,tobacco,none
357,6,155,ash,water,none
358,6,156,glass,ash,none
359,6,157,sand,ash,none
360,6,158,steam,earthquake,none
361,6,159,plant,dune,none
362,6,160,plant,sand,cactus
363,6,161,cactus,water,none
364,6,162,fire,cactus,none
365,6,163,earth,cactus,none
366,6,164,air,cactus,none
367,6,165,cactus,cloud,none
368,6,166,cactus,earthquake,none
369,6,167,cactus,cloud,none
370,6,168,glass,cactus,none
371,6,169,storm,cactus,none
372,6,170,stone,cactus,none
373,6,171,greenhouse,cactus,none
374,6,172,cloud,plant,cotton
375,6,173,cloud,mud,none
376,6,174,aquarium,cloud,none
377,6,175,greenhouse,volcano,none
378,6,176,greenhouse,energy,none
379,6,177,greenhouse,earthquake,none
380,6,178,geyser,greenhouse,none
381,6,179,dune,sand,none
382,6,180,cotton,rain,none
383,6,181,cotton,water,none
384,6,182,cloud,cotton,none
385,7,1,water,earth,mud
386,7,2,air,earth,dust
387,7,3,water,fire,steam
388,7,4,steam,air,cloud
389,7,5,cloud,air,sky
390,7,6,sky,earth,horizon
391,7,7,horizon,water,none
392,7,8,fire,air,energy
393,7,9,air,energy,wind
394,7,10,earth,wind,none
395,7,11,fire,earth,lava
396,7,12,mud,lava,none
397,7,13,lava,steam,none
398,7,14,sky,lava,none
399,7,15,energy,dust,none
400,7,16,dust,cloud,none
401,7,17,water,sky,none
402,7,18,lava,fire,none
403,7,19,mud,sky,none
404,7,20,horizon,steam,none
405,7,21,cloud,wind,none
406,7,22,energy,water,steam
407,7,23,mud,sky,none
408,7,24,dust,wind,none
409,7,25,cloud,cloud,none
410,7,26,earth,earth,pressure
411,7,27,pressure,pressure,none
412,7,28,lava,pressure,granite
413,7,29,pressure,water,none
414,7,30,fire,pressure,none
415,7,31,air,pressure,atmosphere
416,7,32,atmosphere,cloud,none
417,7,33,atmosphere,energy,none
418,7,34,granite,atmosphere,none
419,7,35,lava,atmosphere,none
420,7,36,pressure,atmosphere,none
421,7,37,sky,atmosphere,none
422,7,38,wind,atmosphere,none
423,7,39,pressure,steam,none
424,7,40,pressure,mud,none
425,7,41,pressure,horizon,none
426,7,42,earth,atmosphere,none
427,7,43,fire,atmosphere,none
428,7,44,granite,pressure,none
429,7,45,granite,energy,none
430,7,46,energy,air,wind
431,7,47,fire,wind,none
432,7,48,fire,pressure,none
433,7,49,lava,water,obsidian
434,7,50,obsidian,obsidian,none
435,7,51,obsidian,pressure,none
436,7,52,wind,obsidian,none
437,7,53,obsidian,lava,none
438,7,54,obsidian,granite,none
439,7,55,obsidian,cloud,none
440,7,56,earth,dust,none
441,7,57,earth,sky,horizon
442,7,58,horizon,obsidian,none
443,7,59,granite,mud,none
444,7,60,fire,obsidian,none
445,7,61,water,obsidian,none
446,7,62,wind,lava,none
447,7,63,pressure,obsidian,none
448,7,64,pressure,mud,none
449,7,65,pressure,wind,none
450,7,66,water,pressure,none
451,7,67,earth,water,mud
452,7,68,water,water,sea
453,7,69,sea,pressure,none
454,7,70,sea,sky,horizon
455,7,71,sea,wind,wave
456,7,72,wave,pressure,none
457,7,73,wave,cloud,none
458,7,74,atmosphere,wave,none
459,7,75,energy,wave,none
460,7,76,wave,wave,none
461,7,77,fire,wave,none
462,7,78,atmosphere,atmosphere,none
463,7,79,wave,wave,none
464,7,80,pressure,wave,none
465,7,81,sea,obsidian,none
466,7,82,lava,wave,none
467,7,83,wave,obsidian,none
468,7,84,mud,wave,none
469,7,85,dust,wave,none
470,7,86,earth,sea,none
471,7,87,earth,fire,lava
472,7,88,air,wave,sound
473,7,89,sound,wave,none
474,7,90,sky,sound,none
475,7,91,sound,sea,none
476,7,92,sound,air,none
477,7,93,fire,sound,none
478,7,94,sound,steam,none
479,7,95,sound,wind,none
480,7,96,water,sound,none
481,7,97,earth,cloud,fog
482,7,98,fog,granite,none
483,7,99,fog,sea,none
484,7,100,fog,steam,none
485,7,101,fog,wave,none
486,7,102,fog,fog,none
487,7,103,fog,energy,none
488,7,104,wind,fog,none
489,7,105,wave,granite,none
490,7,106,earth,fog,none
491,7,107,fire,fog,none
492,7,108,horizon,fog,none
493,7,109,steam,granite,none
494,7,110,sky,pressure,atmosphere
495,7,111,wind,wind,none
496,7,112,pressure,sound,none
497,7,113,fog,pressure,none
498,8,1,water,earth,mud
499,8,2,earth,fire,lava
500,8,3,lava,lava,none
501,8,4,earth,mud,none
502,8,5,fire,air,energy
503,8,6,energy,fire,none
504,8,7,energy,air,wind
505,8,8,wind,fire,none
506,8,9,water,lava,obsidian
507,8,10,obsidian,earth,none
508,8,11,wind,fire,none
509,8,12,lava,air,stone
510,8,13,stone,fire,metal
511,8,14,metal,obsidian,none
512,8,15,metal,lava,none
513,8,16,metal,air,rust
514,8,17,lava,metal,none
515,8,18,wind,energy,hurricane
516,8,19,rust,hurricane,none
517,8,20,hurricane,fire,none
518,8,21,water,stone,none
519,8,22,water,wind,none
520,8,23,fire,air,energy
521,8,24,lava,earth,volcano
522,8,25,volcano,water,none
523,8,26,volcano,lava,none
524,8,27,metal,volcano,none
525,8,28,hurricane,volcano,none
526,8,29,metal,volcano,none
527,8,30,fire,volcano,none
528,8,31,fire,wind,none
529,8,32,obsidian,metal,none
530,8,33,stone,obsidian,none
531,8,34,hurricane,energy,none
532,8,35,obsidian,obsidian,none
533,9,1,water,air,rain
534,9,2,fire,rain,none
535,9,3,earth,fire,lava
536,9,4,lava,earth,volcano
537,9,5,volcano,lava,none
538,9,6,fire,air,energy
539,9,7,energy,earth,earthquake
540,9,8,earthquake,energy,none
541,9,9,fire,earthquake,none
542,10,1,fire,air,energy
543,10,2,water,earth,mud
544,10,3,energy,air,wind
545,10,4,air,wind,none
546,10,5,mud,water,none
547,10,6,mud,fire,brick
548,10,7,brick,water,none
549,10,8,earth,brick,none
550,10,9,air,water,rain
551,10,10,rain,brick,none
552,10,11,rain,energy,none
553,10,12,rain,air,none
554,10,13,earth,brick,none
555,10,14,water,energy,steam
556,10,15,earth,wind,none
557,10,16,fire,air,energy
558,10,17,wind,water,none
559,10,18,earth,fire,lava
560,10,19,lava,brick,none
561,10,20,lava,rain,none
562,10,21,lava,water,obsidian
563,10,22,energy,earth,earthquake
564,10,23,earth,energy,earthquake
565,10,24,earthquake,fire,none
566,10,25,earthquake,lava,none
567,10,26,fire,air,energy
568,10,27,mud,water,none
569,10,28,brick,fire,none
570,10,29,steam,fire,none
571,10,30,obsidian,water,none
572,10,31,earth,air,dust
573,10,32,dust,fire,gunpowder
574,10,33,earth,air,dust
575,10,34,dust,lava,none
576,10,35,brick,water,none
577,10,36,dust,water,none
578,10,37,gunpowder,water,none
579,11,1,earth,air,dust
580,11,2,water,dust,none
581,11,3,dust,air,none
582,11,4,fire,air,energy
583,11,5,energy,water,steam
584,11,6,steam,water,none
585,11,7,fire,steam,none
586,11,8,earth,energy,earthquake
587,11,9,earthquake,energy,none
588,11,10,earthquake,steam,none
589,11,11,water,earthquake,none
590,11,12,fire,earthquake,none
591,11,13,steam,energy,none
592,11,14,water,fire,steam
593,11,15,earth,dust,none
594,11,16,energy,dust,none
595,11,17,air,earthquake,none
596,11,18,steam,earthquake,none
597,11,19,earth,energy,earthquake
598,11,20,air,earth,dust
599,11,21,air,fire,energy
600,11,22,water,dust,none
601,11,23,water,fire,steam
602,11,24,earth,fire,lava
603,11,25,lava,energy,none
604,12,1,fire,earth,lava
605,12,2,water,fire,steam
606,12,3,air,lava,stone
607,12,4,water,fire,steam
608,12,5,stone,fire,metal
609,12,6,water,stone,none
610,12,7,steam,water,none
611,12,8,lava,earth,volcano
612,12,9,earth,steam,geyser
613,12,10,fire,lava,none
614,12,11,geyser,steam,none
615,13,1,water,earth,mud
616,13,2,water,air,rain
617,13,3,water,rain,none
618,13,4,fire,earth,lava
619,13,5,fire,mud,brick
620,13,6,fire,lava,none
621,13,7,air,rain,none
622,13,8,earth,mud,none
623,13,9,water,lava,obsidian
624,13,10,earth,lava,volcano
625,13,11,volcano,lava,none
626,13,12,fire,lava,none
627,13,13,water,volcano,none
628,13,14,fire,rain,none
629,13,15,fire,mud,brick
630,13,16,fire,obsidian,none
631,13,17,water,brick,none
632,13,18,fire,volcano,none
633,13,19,fire,brick,none
634,13,20,water,air,rain
635,13,21,fire,lava,none
636,13,22,earth,rain,plant
637,13,23,plant,rain,none
638,13,24,plant,water,algae
639,13,25,algae,air,none
640,13,26,fire,plant,tobacco
641,13,27,tobacco,fire,none
642,13,28,tobacco,fire,none
643,13,29,earth,air,dust
644,13,30,tobacco,dust,none
645,13,31,plant,tobacco,none
646,13,32,rain,lava,none
647,13,33,algae,rain,none
648,13,34,volcano,mud,none
649,13,35,earth,plant,grass
650,13,36,grass,plant,garden
651,13,37,garden,water,pond
652,13,38,pond,mud,none
653,13,39,volcano,tobacco,none
654,14,1,fire,air,energy
655,14,2,water,energy,steam
656,14,3,steam,energy,none
657,14,4,water,energy,steam
658,14,5,steam,earth,geyser
659,14,6,fire,geyser,none
660,14,7,steam,air,cloud
661,14,8,earth,fire,lava
662,14,9,earth,cloud,fog
663,14,10,air,water,rain
664,14,11,water,air,rain
665,14,12,water,fire,steam
666,14,13,earth,cloud,fog
667,14,14,rain,lava,none
668,14,15,earth,energy,earthquake
669,14,16,cloud,air,sky
670,14,17,earth,cloud,fog
671,15,1,earth,fire,lava
672,15,2,air,lava,stone
673,15,3,water,air,rain
674,15,4,water,earth,mud
675,15,5,water,lava,obsidian
676,15,6,water,mud,none
677,15,7,water,obsidian,none
678,15,8,fire,air,energy
679,15,9,fire,energy,none
680,15,10,fire,lava,none
681,15,11,fire,mud,brick
682,15,12,fire,rain,none
683,15,13,water,stone,none
684,15,14,earth,energy,earthquake
685,15,15,earth,air,dust
686,15,16,earth,energy,earthquake
687,15,17,earth,lava,volcano
688,15,18,earth,mud,none
689,15,19,earth,obsidian,none
690,15,20,air,stone,sand
691,15,21,earth,dust,none
692,15,22,earth,air,dust
693,15,23,earth,brick,none
694,15,24,earth,lava,volcano
695,15,25,rain,dust,none
696,15,26,dust,energy,none
697,15,27,mud,rain,none
698,15,28,volcano,rain,none
699,15,29,water,stone,none
700,15,30,energy,air,wind
701,15,31,air,sand,none
702,15,32,sand,wind,dune
703,15,33,wind,sand,dune
704,15,34,stone,wind,sand
705,15,35,fire,wind,none
706,15,36,air,wind,none
707,15,37,wind,dune,none
708,15,38,mud,lava,none
709,15,39,sand,water,beach
710,15,40,fire,water,steam
711,15,41,earth,steam,geyser
712,15,42,earth,steam,geyser
713,15,43,steam,stone,none
714,15,44,wind,geyser,none
715,15,45,beach,wind,dune
716,15,46,dust,wind,none
717,15,47,stone,lava,none
718,15,48,earth,obsidian,none
719,15,49,water,obsidian,none
720,15,50,sand,lava,none
721,15,51,sand,obsidian,none
722,15,52,sand,lava,none
723,15,53,sand,fire,glass
724,15,54,fire,water,steam
725,15,55,steam,obsidian,none
726,16,1,water,earth,mud
727,16,2,water,fire,steam
728,16,3,water,air,rain
729,16,4,water,steam,none
730,16,5,fire,earth,lava
731,16,6,fire,air,energy
732,16,7,fire,energy,none
733,16,8,water,energy,steam
734,16,9,earth,air,dust
735,16,10,earth,energy,earthquake
736,16,11,earth,rain,plant
737,16,12,earth,steam,geyser
738,16,13,water,earthquake,none
739,16,14,water,lava,obsidian
740,16,15,plant,fire,tobacco
741,16,16,obsidian,fire,none
742,16,17,water,tobacco,none
743,16,18,steam,tobacco,none
744,16,19,water,water,sea
745,16,20,fire,fire,none
746,16,21,earth,earth,pressure
747,16,22,air,air,pressure
748,16,23,air,air,pressure
749,16,24,dust,dust,none
750,16,25,earthquake,earthquake,none
751,16,26,energy,energy,none
752,16,27,geyser,geyser,none
753,16,28,tobacco,tobacco,none
754,16,29,steam,steam,none
755,16,30,air,sea,none
756,16,31,plant,rain,none
757,16,32,obsidian,pressure,none
758,16,33,mud,pressure,none
759,16,34,sea,sea,ocean
760,16,35,ocean,ocean,none
761,16,36,fire,fire,none
762,16,37,pressure,pressure,none
763,16,38,sea,dust,none
764,16,39,plant,fire,tobacco
765,16,40,plant,steam,none
766,16,41,plant,mud,swamp
767,16,42,tobacco,swamp,none
768,16,43,plant,swamp,none
769,16,44,water,swamp,none
770,16,45,swamp,fire,none
771,16,46,swamp,earth,none
772,16,47,swamp,earthquake,none
773,16,48,ocean,earthquake,tsunami
774,16,49,energy,tsunami,none
775,16,50,earthquake,tsunami,none
776,16,51,obsidian,pressure,none
777,16,52,tsunami,tsunami,none
778,16,53,tsunami,swamp,none
779,16,54,tobacco,swamp,none
780,16,55,rain,swamp,none
781,16,56,fire,swamp,none
782,16,57,earth,tsunami,none
783,16,58,tsunami,air,none
784,16,59,water,obsidian,none
785,16,60,plant,obsidian,none
786,16,61,rain,plant,none
787,16,62,air,dust,none
788,16,63,tsunami,dust,none
789,17,1,fire,earth,lava
790,17,2,lava,air,stone
791,17,3,stone,lava,none
792,17,4,air,water,rain
793,17,5,rain,lava,none
794,17,6,fire,rain,none
795,17,7,stone,water,none
796,17,8,earth,stone,none
797,17,9,water,water,sea
798,17,10,lava,sea,none
799,17,11,fire,fire,none
800,17,12,earth,earth,pressure
801,18,1,water,fire,steam
802,18,2,steam,fire,none
803,18,3,earth,fire,lava
804,18,4,air,fire,energy
805,18,5,water,energy,steam
806,18,6,steam,energy,none
807,18,7,earth,water,mud
808,18,8,mud,fire,brick
809,18,9,brick,fire,none
810,18,10,mud,water,none
811,18,11,steam,lava,none
812,18,12,earth,air,dust
813,18,13,dust,water,none
814,18,14,dust,brick,none
815,18,15,dust,energy,none
816,18,16,lava,dust,none
817,18,17,dust,air,none
818,18,18,water,air,rain
819,18,19,water,dust,none
820,18,20,water,lava,obsidian
821,18,21,water,steam,none
822,18,22,fire,obsidian,none
823,18,23,fire,mud,brick
824,18,24,earth,lava,volcano
825,18,25,water,volcano,none
826,18,26,volcano,steam,none
827,18,27,volcano,rain,none
828,18,28,air,volcano,none
829,18,29,energy,volcano,ash
830,18,30,steam,brick,none
831,18,31,air,ash,none
832,18,32,air,volcano,none
833,18,33,fire,air,energy
834,18,34,energy,mud,none
835,18,35,energy,water,steam
836,18,36,energy,earth,earthquake
837,18,37,earthquake,brick,none
838,18,38,earthquake,volcano,none
839,18,39,earthquake,rain,none
840,18,40,water,volcano,none
841,18,41,steam,water,none
842,18,42,fire,earthquake,none
843,18,43,earth,lava,volcano
844,18,44,energy,earth,earthquake
845,18,45,obsidian,earthquake,none
846,18,46,lava,air,stone
847,18,47,stone,earth,none
848,18,48,water,stone,none
849,18,49,stone,fire,metal
850,18,50,metal,water,none
851,18,51,fire,metal,none
852,18,52,earth,metal,none
853,18,53,energy,metal,electricity
854,18,54,electricity,earthquake,none
855,18,55,electricity,water,none
856,18,56,earth,electricity,none
857,18,57,energy,electricity,none
858,18,58,electricity,metal,wire
859,18,59,wire,water,none
860,18,60,fire,wire,none
861,18,61,wire,electricity,none
862,18,62,metal,wire,none
863,18,63,wire,stone,none
864,18,64,wire,fire,none
865,18,65,wire,rain,none
866,18,66,earthquake,wire,none
867,18,67,wire,brick,none
868,18,68,brick,ash,none
869,18,69,wire,air,none
870,18,70,wire,brick,none
871,18,71,wire,steam,none
872,18,72,brick,steam,none
873,18,73,rain,wire,none
874,18,74,volcano,metal,none
875,18,75,energy,metal,electricity
876,18,76,wire,energy,none
877,18,77,obsidian,fire,none
878,18,78,wire,wire,none
879,18,79,water,water,sea
880,18,80,fire,fire,none
881,18,81,earth,earth,pressure
882,18,82,air,air,pressure
883,18,83,sea,earthquake,tsunami
884,18,84,tsunami,electricity,none
885,18,85,tsunami,energy,none
886,18,86,sea,earth,none
887,18,87,sea,fire,salt
888,18,88,earth,fire,lava
889,18,89,fire,sea,salt
890,18,90,water,sea,ocean
891,18,91,ocean,water,none
892,18,92,fire,ocean,salt
893,18,93,rain,ocean,none
894,18,94,sea,rain,none
895,18,95,tsunami,volcano,none
896,18,96,salt,earth,none
897,18,97,salt,metal,none
898,18,98,pressure,water,none
899,18,99,pressure,fire,none
900,18,100,pressure,ocean,none
901,18,101,pressure,salt,none
902,18,102,rain,pressure,none
903,18,103,salt,salt,none
904,18,104,rain,rain,flood
905,18,105,tsunami,wire,none
906,18,106,flood,earthquake,none
907,18,107,flood,energy,none
908,18,108,electricity,flood,none
909,18,109,flood,wire,none
910,18,110,flood,tsunami,none
911,18,111,lava,lava,none
912,18,112,pressure,pressure,none
913,18,113,pressure,fire,none
914,18,114,earth,pressure,none
915,18,115,pressure,water,none
916,18,116,mud,pressure,none
917,18,117,pressure,wire,none
918,18,118,volcano,pressure,none
919,18,119,pressure,stone,none
920,18,120,sea,pressure,none
921,18,121,ocean,pressure,none
922,18,122,ocean,fire,salt
923,18,123,earth,ocean,none
924,18,124,salt,rain,none
925,18,125,salt,sea,none
926,18,126,salt,tsunami,none
927,18,127,flood,brick,none
928,18,128,ash,ocean,none
929,18,129,ocean,air,none
930,18,130,sea,air,none
931,18,131,sea,fire,salt
932,18,132,earth,sea,none
933,18,133,ocean,ocean,none
934,18,134,pressure,steam,none
935,18,135,electricity,steam,none
936,18,136,energy,steam,none
937,18,137,steam,sea,none
938,18,138,steam,sea,none
939,18,139,sea,steam,none
940,18,140,steam,ocean,none
941,18,141,steam,rain,none
942,18,142,ash,rain,none
943,18,143,ash,water,none
944,18,144,fire,stone,metal
945,18,145,fire,metal,none
946,18,146,metal,metal,none
947,18,147,ash,ash,none
948,18,148,fire,wire,none
949,18,149,fire,metal,none
950,18,150,fire,obsidian,none
