Intersection,Difference Children,Difference Adults
"['earthquake', 'earthquake']","['volcano', 'hurricane']","['sword', 'sandstone']"
"['flood', 'flood']","['mud', 'cloud']","['blade', 'steam']"
"['sea', 'sea']","['sky', 'explosion']","['tobacco', 'mud']"
"['ocean', 'ocean']","['fireworks', 'fire']","['stone', 'swamp']"
"['ocean', 'water']","['fireworks', 'dust']","['brick', 'stone']"
"['fire', 'ocean']","['fireworks', 'gunpowder']","['stone', 'gunpowder']"
"['earth', 'ocean']","['steam', 'fireworks']","['sun', 'dew']"
"['earthquake', 'ocean']","['fireworks', 'explosion']","['sun', 'plant']"
"['obsidian', 'earth']","['air', 'fireworks']","['sun', 'earth']"
"['mud', 'mud']","['gunpowder', 'mud']","['energy', 'bullet']"
"['steam', 'lava']","['fireworks', 'water']","['sun', 'brick']"
